unique_id,account_number,name,bank,password,account_balance
58297,1288452949,Shreyash,Unilag Bank,abc12345,10000
79848,6473441976,supriya,Unilag Bank,12345678,10000
16127,9180884684,mayank,Unilag Bank,M@123456m,13000
35034,9544536116,Aditya Patel,Unilag Bank,12345678,99995415731
17914,1508332718,Shobhit,Unilag Bank,123456789,10000
94226,9374713301,shobhit,Unilag Bank,123456789,10000
41642,7865616868,shobhit,Unilag Bank,12345678,10000
54314,5108140011,divyansh,Unilag Bank,123456789,10000
79629,1650554495,hardik,Unilag Bank,1234abcd,10000
12816,8436895133,joshi,Unilag Bank,123456789,10000
50196,3018015107,abcd,Unilag Bank,123456789,10000
64042,4296684993,braveen,Unilag Bank,123456789,10000
26953,2389189058,shreyashi,Unilag Bank,12345678,10000
38317,2757643205,raghav,Unilag Bank,123456789,10000
84453,8066081785,tanya,Unilag Bank,1234567890,10000
95298,1626935286,bhupesh,Unilag Bank,1234567890,10550
34121,6880972341,divy,Unilag Bank,123456789,10000
16635,6459066316,pus,Unilag Bank,123456789,9902
